candidate_id,robot,sample_index,span2_mm,span3_mm,span4_mm,span5_mm,size_x_mm,size_y_mm,size_z_mm,worst_axis_ratio,arm_size_x_mm,arm_size_y_mm,arm_size_z_mm,volume_l,clearance_mm,collision_free,rule_pass,evaluations,elapsed_s
lite6_q00,lite6,0,200.2,243.67049903506987,0.0,62.49999999999998,360.0,360.0,783.5000000000001,1.3058333333333336,310.0674533512154,200.9794418817733,323.50000000000006,101.54160000000002,0.4126911129985027,True,False,1997,1.3450010810011008
lite6_q01,lite6,1,166.73934371294453,288.6229343208516,0.0,68.86925559956578,360.0,360.0,783.5000000000001,1.3058333333333336,290.9010227214964,284.5474643642823,323.50000000000006,101.54160000000002,80.81952212847641,True,False,1990,2.7608371970000007
lite6_q02,lite6,2,229.5857738498598,189.48369360505157,0.0,61.72894246992653,360.0,360.0,783.5000000000001,1.3058333333333336,213.75010467145805,155.09505983189726,323.50000000000006,101.54160000000002,30.562912479356505,True,False,2682,2.9225962380005512
lite6_q03,lite6,3,202.78805885063483,271.39706464809893,0.0,71.13026196020652,360.0,360.0,783.5000000000001,1.3058333333333336,281.05126556344857,255.75280137016776,345.0704577509955,101.54160000000002,38.4295422490046,True,False,1990,1.2675153180007328
lite6_q04,lite6,4,190.74888718090952,233.23551951473638,0.0,48.241282172966734,360.0,360.0,783.5000000000001,1.3058333333333336,283.8521539431168,221.27682719874957,323.50000000000006,101.54160000000002,14.952318510134274,True,False,1987,2.5187259860013
lite6_q05,lite6,5,178.81743763545526,248.04127519020707,0.0,55.097453761845806,360.0,360.0,783.5000000000001,1.3058333333333336,141.46154511015646,295.2888717874327,323.50000000000006,101.54160000000002,43.088272202668556,True,False,1992,2.3893182819992944
lite6_q06,lite6,6,215.88127499893307,225.3470090287608,0.0,64.31199974031185,360.0,360.0,783.5000000000001,1.3058333333333336,301.1181015825978,156.57578382692054,337.1151938969843,101.54160000000002,4.12899852311174,True,False,1993,2.2770778969988896
lite6_q07,lite6,7,239.94299354786054,295.59289659170213,0.0,52.94992178096434,360.0,360.0,783.5000000000001,1.3058333333333336,256.912772802675,295.2423620818817,366.7101594179516,101.54160000000002,16.789840582048488,True,False,1993,2.4048103080003784
lite6_q08,lite6,8,152.0712291046977,211.92116723011497,0.0,77.67092710128051,360.0,360.0,783.5000000000001,1.3058333333333336,134.9924804611594,276.3322910007795,323.50000000000006,101.54160000000002,22.100677577747433,True,False,1987,2.69302004400015
lite6_q09,lite6,9,159.67225199528036,260.6797783087506,0.0,50.78469761065206,360.0,360.0,783.5000000000001,1.3058333333333336,207.85124929416423,163.5725848099581,361.50681892714385,101.54160000000002,14.286029003049732,True,False,2001,1.3458866829987528
lite6_q10,lite6,10,247.53790681930258,237.9257603954205,0.0,75.8688735659234,360.0,360.0,783.5000000000001,1.3058333333333336,275.4193906355057,220.8653107766671,323.50000000000006,101.54160000000002,11.131169095050158,True,False,2009,1.6007404860010865
lite6_q11,lite6,11,220.79103452377018,277.71937178494153,0.0,56.957510067149975,360.0,360.0,783.5000000000001,1.3058333333333336,94.83568697499689,335.13906210478274,323.50000000000006,101.54160000000002,71.26493015913354,True,False,2002,1.2729262529992411
lite6_q12,lite6,12,183.73330677943304,194.1073351719207,0.0,66.29716572933827,360.0,360.0,783.5000000000001,1.3058333333333336,237.84372291842195,183.29212400118,323.50000000000006,101.54160000000002,27.769013162832216,True,False,1996,2.6759365729994897
lite6_q13,lite6,13,198.40355941876766,299.3051565771635,0.0,73.1743774085771,360.0,360.0,783.5000000000001,1.3058333333333336,316.52905669349076,303.8127460527243,323.50000000000006,101.54160000000002,20.91576720719739,True,False,1969,1.3111511730003258
lite6_q14,lite6,14,210.4366214693524,200.2261323778405,0.0,50.164459331426755,360.0,360.0,783.5000000000001,1.3058333333333336,158.19190047034607,256.82817500426825,323.50000000000006,101.54160000000002,25.621761421453602,True,False,2005,2.846855666999545
lite6_q15,lite6,15,234.4453191965818,251.67229577716793,0.0,67.13032384868708,360.0,360.0,783.5000000000001,1.3058333333333336,296.75530656624426,177.0791224939232,330.9131960538,101.54160000000002,33.79853302935273,True,False,1989,3.025396221999472
lite6_q16,lite6,16,171.60499867880716,213.45059313064587,0.0,59.62266682763582,360.0,360.0,783.5000000000001,1.3058333333333336,146.98996088481883,263.62056676973566,323.50000000000006,101.54160000000002,51.25708183984586,True,False,1990,1.5360565440005303
piper_q00,piper,0,285.0312254403016,251.71383016433563,0.0,91.01102390507425,458.7586666678984,360.00097290751216,668.0,1.1133333333333335,323.75866666789835,225.00097290751214,432.51239916408304,110.32258230857126,6.180743311989249,True,False,3492,3.487332705000881
piper_q01,piper,1,237.39220513292824,298.15010253134886,0.0,100.28578348314802,360.0,423.6457460997012,668.0,1.1133333333333335,202.90026524835358,288.6457460997012,486.6925156464571,101.87832902205615,0.0014375991065837534,True,False,3569,3.916812467999989
piper_q02,piper,2,326.8687036168107,195.73836988838127,0.0,89.88822814024701,360.00025403844387,506.1476917600092,668.0,1.1133333333333335,225.00025403844387,371.14769176000925,362.71567396962587,121.71848280653631,15.829168972059014,True,False,3857,2.8798607059998176
piper_q03,piper,3,288.7159286656166,280.35562330464455,0.0,103.57820754615284,463.0158016405465,360.0000000000491,668.0,1.1133333333333335,328.0158016405465,225.0000000000491,476.4597335224414,111.34603997853384,17.65199979139251,True,False,3646,2.6815189219996682
piper_q04,piper,4,271.57536995278963,240.93440190711556,0.0,70.24781576088495,443.13685332665546,360.00000185306135,668.0,1.1133333333333335,308.13685332665546,225.00000185306135,405.9758899294789,106.56555103652884,13.015585016598274,True,False,3632,2.641353742001229
piper_q05,piper,5,254.5881787179247,256.22888147812716,0.0,80.23161090284918,423.1373630213924,360.0,668.0,1.1133333333333335,288.1373630213924,224.9999999983201,427.429642546428,101.75607305938445,1.6722252208785995,True,False,4512,2.9055192899995745
piper_q06,piper,6,307.35716464815505,232.78549920211202,0.0,93.64961513197845,360.0001294892136,484.28428606092393,668.0,1.1133333333333335,225.0001294892136,349.28428606092393,420.52418268752103,116.46072700193801,41.51012996261757,True,False,3581,3.723355772999639
piper_q07,piper,7,341.61461282098435,305.3501366193662,0.0,77.10442555166655,522.453192992633,360.0,668.0,1.1133333333333335,387.4531929926331,224.99999986264103,437.42015079937244,125.63954385086839,2.8710902998952057,True,False,3348,3.9403523900000437
piper_q08,piper,8,216.50873519442982,218.91648315092732,0.0,113.10256965030275,422.478052866693,360.0,668.0,1.1133333333333335,287.478052866693,222.4680688644154,419.27167422692736,101.59752215338234,0.00012441998967216428,True,False,3610,3.6795590889996674
piper_q09,piper,9,227.33055771741968,269.28456954915066,0.0,73.95147725208037,360.0,424.85932229728655,668.0,1.1133333333333335,223.95735946939837,289.85932229728655,386.1628685559545,102.17016982605148,0.00028368108568460615,True,False,4159,2.7334250830008386
piper_q10,piper,10,352.42773688128375,245.77946317282272,0.0,110.478461852149,360.0001860580575,534.309176032858,668.0,1.1133333333333335,225.0001860580575,399.3091760328579,459.9624747862602,128.49073705995002,96.59207200169354,True,False,3512,4.177163458998621
piper_q11,piper,11,314.3473483343764,286.8866237794329,0.0,82.94018096471832,360.0008702171589,492.1585361560935,668.0,1.1133333333333335,225.00087021715888,357.1585361560934,404.90886831327856,118.3545708690658,28.864348062309134,True,False,4147,2.6605457109999406
