candidate_id,robot,sample_index,parking_id,span2_mm,span3_mm,span4_mm,span5_mm,factor2,factor3,factor4,factor5,tier1_complete,tier2_complete,tier3_complete,storage_balanced_fraction,pickup_complete,pickup_min_slot_complete,module_complete,module_stress_complete,module_stress_total,module_stress_min_clearance_m,module_stress_min_joint_margin_rad,elapsed_s
xarm6_q00_rear_left,xarm6,0,rear_left,345.8205153893959,346.84777684533543,0.0,57.331525415341865,1.0,1.0,,1.0,14,22,5,0.6661728395061729,63,7,True,9,9,0.00666666666666671,0.5393011797536587,45.43592850401183
xarm6_q00_rear_center,xarm6,0,rear_center,345.8205153893959,346.84777684533543,0.0,57.331525415341865,1.0,1.0,,1.0,14,24,20,0.8780246913580246,64,8,True,9,9,0.00666666666666671,0.24285111231635703,45.63328188602463
xarm6_q00_rear_right,xarm6,0,rear_right,345.8205153893959,346.84777684533543,0.0,57.331525415341865,1.0,1.0,,1.0,12,23,18,0.7955555555555556,60,6,True,9,9,0.00666666666666671,0.05505831051080046,44.365283841005294
xarm6_q00_mid_left,xarm6,0,mid_left,345.8205153893959,346.84777684533543,0.0,57.331525415341865,1.0,1.0,,1.0,14,24,15,0.8162962962962963,68,9,True,9,9,0.00666666666666671,0.2428511123182302,45.64958804301568
xarm6_q01_rear_left,xarm6,1,rear_left,288.0214074850155,410.83439937206646,0.0,63.17407164387491,0.8328638547100127,1.1844804170541465,,1.1019080895930529,14,23,5,0.6795061728395062,63,8,True,9,9,0.00666666666666671,0.5990039723779739,46.02058436701191
xarm6_q01_rear_center,xarm6,1,rear_center,288.0214074850155,410.83439937206646,0.0,63.17407164387491,0.8328638547100127,1.1844804170541465,,1.1019080895930529,15,25,22,0.9382716049382717,65,8,True,9,9,0.00666666666666671,0.36650111737722835,46.73093229799997
xarm6_q01_rear_right,xarm6,1,rear_right,288.0214074850155,410.83439937206646,0.0,63.17407164387491,0.8328638547100127,1.1844804170541465,,1.1019080895930529,15,25,23,0.9506172839506174,59,7,True,9,9,0.00666666666666671,0.22389950071546005,46.468059879000066
xarm6_q01_mid_left,xarm6,1,mid_left,288.0214074850155,410.83439937206646,0.0,63.17407164387491,0.8328638547100127,1.1844804170541465,,1.1019080895930529,15,25,19,0.9012345679012346,69,10,True,9,9,0.00666666666666671,0.3665011173769921,46.49853331199847
xarm6_q02_rear_left,xarm6,2,rear_left,396.5807724217373,269.71667943231773,0.0,56.62423094522832,1.146782087162137,0.777622627094388,,0.9876630795188248,12,19,3,0.5570370370370371,53,4,True,9,9,0.00666666666666671,0.5286568600141637,48.72364006898715
xarm6_q02_rear_center,xarm6,2,rear_center,396.5807724217373,269.71667943231773,0.0,56.62423094522832,1.146782087162137,0.777622627094388,,0.9876630795188248,14,25,12,0.7925925925925926,62,7,True,9,9,0.00666666666666671,0.11626719683772979,46.24315340499743
xarm6_q02_rear_right,xarm6,2,rear_right,396.5807724217373,269.71667943231773,0.0,56.62423094522832,1.146782087162137,0.777622627094388,,0.9876630795188248,13,25,13,0.782716049382716,60,5,True,9,9,0.00666666666666671,4.698818987236564e-06,45.75827693598694
xarm6_q02_mid_left,xarm6,2,mid_left,396.5807724217373,269.71667943231773,0.0,56.62423094522832,1.146782087162137,0.777622627094388,,0.9876630795188248,14,25,9,0.7555555555555555,67,8,True,9,9,0.00666666666666671,0.11626719683839148,46.3932826090022
xarm6_q03_rear_left,xarm6,3,rear_left,350.2910640686398,386.31458829981256,0.0,65.24810274194411,1.012927366886288,1.1137871253304183,,1.1380841913633049,14,24,9,0.7422222222222222,67,8,True,9,9,0.006639147467054886,0.45025618092926667,46.968874269980006
xarm6_q03_rear_center,xarm6,3,rear_center,350.2910640686398,386.31458829981256,0.0,65.24810274194411,1.012927366886288,1.1137871253304183,,1.1380841913633049,12,23,20,0.8202469135802469,63,8,True,9,9,0.006639147467055108,0.20662885604904746,46.602302612998756
xarm6_q03_rear_right,xarm6,3,rear_right,350.2910640686398,386.31458829981256,0.0,65.24810274194411,1.012927366886288,1.1137871253304183,,1.1380841913633049,12,19,15,0.7051851851851852,60,6,True,9,9,0.006639147467054775,0.04434751705099327,44.83071365801152
xarm6_q03_mid_left,xarm6,3,mid_left,350.2910640686398,386.31458829981256,0.0,65.24810274194411,1.012927366886288,1.1137871253304183,,1.1380841913633049,12,23,22,0.8449382716049382,65,8,True,9,9,0.006639147467054886,0.2066288560477969,46.17752655898221
xarm6_q04_rear_left,xarm6,4,rear_left,329.4948974768025,331.9943191539578,0.0,44.251940719489944,0.9527916442602873,0.9571758601814508,,0.771860514767468,11,16,3,0.4948148148148148,51,0,True,9,9,0.00666666666666671,0.553989361962707,49.31228416299564
xarm6_q04_rear_center,xarm6,4,rear_center,329.4948974768025,331.9943191539578,0.0,44.251940719489944,0.9527916442602873,0.9571758601814508,,0.771860514767468,14,25,16,0.8419753086419753,63,8,True,9,9,0.00666666666666671,0.33263415236220784,46.879221848008456
xarm6_q04_rear_right,xarm6,4,rear_right,329.4948974768025,331.9943191539578,0.0,44.251940719489944,0.9527916442602873,0.9571758601814508,,0.771860514767468,13,24,20,0.8558024691358025,60,6,True,9,9,0.00666666666666671,0.13328574851215125,46.297226775001036
xarm6_q04_mid_left,xarm6,4,mid_left,329.4948974768025,331.9943191539578,0.0,44.251940719489944,0.9527916442602873,0.9571758601814508,,0.771860514767468,15,25,11,0.8024691358024691,67,8,True,9,9,0.00666666666666671,0.3326341523616132,46.764244946010876
xarm6_q05_rear_left,xarm6,5,rear_left,308.8848074111104,353.069268566743,0.0,50.541137130686195,0.8931939941830933,1.0179372397251427,,0.8815592601895332,11,17,3,0.5081481481481481,48,0,True,9,9,0.00666666666666671,0.5856424784532475,49.00791750100325
xarm6_q05_rear_center,xarm6,5,rear_center,308.8848074111104,353.069268566743,0.0,50.541137130686195,0.8931939941830933,1.0179372397251427,,0.8815592601895332,15,25,15,0.8518518518518517,63,8,True,9,9,0.00666666666666671,0.3637125651987909,47.46844542998588
xarm6_q05_rear_right,xarm6,5,rear_right,308.8848074111104,353.069268566743,0.0,50.541137130686195,0.8931939941830933,1.0179372397251427,,0.8815592601895332,13,24,21,0.8681481481481481,60,6,True,9,9,0.00666666666666671,0.180469674466591,46.7840933840198
xarm6_q05_mid_left,xarm6,5,mid_left,308.8848074111104,353.069268566743,0.0,50.541137130686195,0.8931939941830933,1.0179372397251427,,0.8815592601895332,15,25,11,0.8024691358024691,68,9,True,9,9,0.00666666666666671,0.3637125651983797,47.16695462100324
xarm6_q06_rear_left,xarm6,6,rear_left,372.9079609543004,320.7655806094204,0.0,58.993680761970396,1.0783280469477177,0.9248021813109517,,1.02899199584499,14,22,5,0.6661728395061729,61,7,True,9,9,0.00666666666666671,0.4893607375848168,47.292505998018896
