candidate_id,robot,parking_id,storage_fraction,pickup_fraction,module_fraction,J2_J3_mm,J3_J4_mm,J4_J5_mm,J5_J6_mm
xarm6_q01_rear_center,xarm6,rear_center,0.9382716049382717,0.9027777777777778,1.0,288.02,410.83,0.0,63.17
xarm6_q01_rear_right,xarm6,rear_right,0.9506172839506174,0.8194444444444444,1.0,288.02,410.83,0.0,63.17
xarm6_q01_mid_left,xarm6,mid_left,0.9012345679012346,0.9583333333333334,1.0,288.02,410.83,0.0,63.17
