robot,candidate_id,J2_J3_mm,J3_J4_mm,J4_J5_mm,J5_J6_mm,size_x_mm,size_y_mm,size_z_mm,worst_axis_ratio,rule_pass,arm_size_x_mm,arm_size_y_mm,arm_size_z_mm,clearance_mm,task_best_candidate,task_robust_fraction
rm2p_offset_wrist,rm2p_offset_wrist_q00,290.0,390.0,0.0,60.0,461.45,394.69,490.6,0.81766,True,461.41,370.16,295.6,0.0,rm2p_offset_wrist_q00_rear_right,0.51389
rm2p_spherical_wrist,rm2p_spherical_wrist_q00,290.0,390.0,0.0,0.0,360.0,482.68,490.6,0.81767,True,334.88,472.77,295.6,0.002,rm2p_spherical_wrist_q00_rear_right,0.44938
rm3p_spherical_wrist,rm3p_spherical_wrist_q02,320.85,385.59,0.0,0.0,414.47,485.69,490.07,0.81678,True,316.02,441.91,295.07,0.004,rm3p_spherical_wrist_q02_rear_right,0.68444
rm_offset_shoulder,rm_offset_shoulder_q02,65.28,256.63,387.11,0.0,425.09,360.0,493.94,0.82323,True,425.03,266.39,298.94,0.0,rm_offset_shoulder_q02_rear_center,0.14568
rm_spherical_shoulder,rm_spherical_shoulder_q00,0.0,290.0,390.0,0.0,378.6,441.23,455.0,0.75833,True,253.6,441.23,260.0,0.966,rm_spherical_shoulder_q00_rear_center,0.23704
