candidate_id,robot,sample_index,span2_mm,span3_mm,span4_mm,span5_mm,size_x_mm,size_y_mm,size_z_mm,worst_axis_ratio,arm_size_x_mm,arm_size_y_mm,arm_size_z_mm,volume_l,clearance_mm,collision_free,rule_pass,evaluations,elapsed_s
rm2p_offset_wrist_q00,rm2p_offset_wrist,0,290.0,390.0,0.0,60.0,461.4497206400651,394.69329794850836,490.5978214887994,0.8176630358146657,461.4140130098741,370.15858768619927,295.5978214887994,89.35312681023261,1.9165326270442762e-07,True,True,7654,6.107002725999337
rm2p_offset_wrist_q01,rm2p_offset_wrist,1,260.9183107195422,433.16841759067023,0.0,63.6686912253499,386.9117428380171,430.62735755843215,491.4477048061146,0.819079508010191,365.27490901829213,430.62735755843215,296.4477048061146,81.88245191890596,5.530623875538154e-07,True,True,9201,7.952432808000594
rm2p_offset_wrist_q02,rm2p_offset_wrist,2,315.5400831662118,337.9636947400868,0.0,59.55587086267769,397.58447911844,493.45441610863327,480.6879305839216,0.8224240268477222,272.58447911844,368.45441610863327,480.6879305839216,94.30607713404395,1.6237142195755436,True,True,5947,9.333448168999894
rm2p_spherical_wrist_q00,rm2p_spherical_wrist,0,290.0,390.0,0.0,0.0,360.0002691438435,482.6785201179718,490.60023869178445,0.8176670644863074,334.8827681551714,472.77314414794847,295.6002386917844,85.24885471911224,0.0024179592390954907,True,True,5993,3.982409935999385
rm2p_spherical_wrist_q01,rm2p_spherical_wrist,1,260.9183107195422,433.16841759067023,0.0,0.0,429.9047283299339,387.45725807399447,491.451536092729,0.8190858934878817,429.9047283299339,380.71851450626366,296.451536092729,81.8609385052235,1.1471561200959712e-07,True,True,6876,5.0911120460004895
rm2p_spherical_wrist_q02,rm2p_spherical_wrist,2,320.85170789342374,385.5946764629334,0.0,0.0,399.9478706052288,494.81159855945504,494.8115277106245,0.8246859975990918,392.7987866886875,464.3292960950422,299.8115277106245,97.92262992291995,4.37239081648498,True,True,5835,5.739570925001317
rm3p_spherical_wrist_q00,rm3p_spherical_wrist,0,290.0,390.0,0.0,0.0,360.0015806484319,482.67876382615594,490.5990106409775,0.8176650177349625,327.1279166777156,436.21326769745195,295.5990106409775,85.24899493686166,5.207005222829242e-05,True,True,8740,9.951289128999633
rm3p_spherical_wrist_q01,rm3p_spherical_wrist,1,260.9183107195422,433.16841759067023,0.0,0.0,430.40053542079727,387.0825484564371,491.44798570123953,0.8190799761687326,430.40053542079727,380.1672915424461,296.44798570123953,81.87549788687443,0.0026515621385780896,True,True,6793,5.1193887119989085
rm3p_spherical_wrist_q02,rm3p_spherical_wrist,2,320.85170789342374,385.5946764629334,0.0,0.0,414.4687256855522,485.69311561757956,490.0653178197007,0.8167755296995012,316.0190230482525,441.9091402678268,295.0653178197007,98.65240606309489,0.0036526388722118996,True,True,6891,5.001983094000025
rm_offset_shoulder_q00,rm_offset_shoulder,0,60.0,296.1418578992169,390.0,0.0,389.88690109085445,494.44826504637143,499.83345828410273,0.833055763806838,264.88690109085445,488.319009304615,304.83345828410273,96.3573451752436,3.6116082253973003,True,True,2620,2.455650871999751
rm_offset_shoulder_q01,rm_offset_shoulder,1,53.98309876956045,328.9212819706793,413.84649296477437,0.0,498.0824199702184,417.10866320806775,500.99454823103594,0.8349909137183933,487.3696754292793,292.10866320806775,305.99454823103594,104.08386804347622,6.506665369278089,True,True,2809,3.4162827860000107
rm_offset_shoulder_q02,rm_offset_shoulder,2,65.28415513783692,256.62870887900795,387.113160607405,0.0,425.0916924090421,360.0,493.93510684568406,0.82322517807614,425.0254931014666,266.3899843720315,298.935106845684,75.58837578333822,8.528052378165007e-05,True,True,4135,3.6578743519985437
rm_spherical_shoulder_q00,rm_spherical_shoulder,0,0.0,290.0,390.0,0.0,378.59604857667284,441.2348343502165,455.0,0.7583333333333334,253.59604857667284,441.2348343502165,260.0,76.00764297461551,0.965830095819957,True,True,3558,4.793835815999046
rm_spherical_shoulder_q01,rm_spherical_shoulder,1,0.0,260.9183107195422,433.16841759067023,0.0,442.875870816861,420.44415818826974,455.0,0.7583333333333334,442.8388824592846,420.44415818826974,260.0,84.72308057280888,0.0032870500177965833,True,True,5687,3.9931499719987187
rm_spherical_shoulder_q02,rm_spherical_shoulder,2,0.0,320.85170789342374,385.5946764629334,0.0,399.0078630364509,454.9633956800664,455.0,0.7583333333333334,395.5164531081981,425.3736656519645,260.0,82.59795738290029,0.0033131000451228076,True,True,4063,2.659587713000292
