candidate_id,robot,sample_index,span2_mm,span3_mm,span4_mm,span5_mm,size_x_mm,size_y_mm,size_z_mm,worst_axis_ratio,arm_size_x_mm,arm_size_y_mm,arm_size_z_mm,volume_l,clearance_mm,collision_free,rule_pass,evaluations,elapsed_s
lite6_q00,lite6,0,200.2,243.67049903506987,0.0,62.49999999999998,360.0,360.0,533.5,0.8891666666666667,310.0674533512154,200.9794418817733,323.5,69.1416,0.4126911129985027,True,True,1985,1.3250465439996333
lite6_q01,lite6,1,166.73934371294453,288.6229343208516,0.0,68.86925559956578,360.0,360.0,533.5,0.8891666666666667,290.9010227214964,284.5474643642823,323.5,69.1416,30.25667800240175,True,True,1981,1.6069023330001073
lite6_q02,lite6,2,229.5857738498598,189.48369360505157,0.0,61.72894246992653,360.0,360.0,533.5,0.8891666666666667,213.75010467145805,155.09505983189726,323.5,69.1416,30.56291247935652,True,True,2156,2.5961970789994666
lite6_q03,lite6,3,202.78805885063483,271.39706464809893,0.0,71.13026196020652,360.0,360.0,533.5,0.8891666666666667,330.1005171375554,141.78820589019205,323.5,69.1416,50.0242625379875,True,True,1995,1.9254176619997452
lite6_q04,lite6,4,190.74888718090952,233.23551951473638,0.0,48.241282172966734,360.0,360.0,533.5,0.8891666666666667,283.8521539431168,221.27682719874957,323.5,69.1416,14.952318510134274,True,True,1979,1.1498346040007164
lite6_q05,lite6,5,178.81743763545526,248.04127519020707,0.0,55.097453761845806,360.0,360.0,533.5,0.8891666666666667,228.69380444946307,279.6092240682382,323.5,69.1416,29.54214907167386,True,True,2006,1.1919797829996241
lite6_q06,lite6,6,215.88127499893307,225.3470090287608,0.0,64.31199974031185,360.0,360.0,533.5,0.8891666666666667,143.09122543321502,251.64799657010684,323.5,69.1416,12.908208639229452,True,True,1997,1.3969518829999288
lite6_q07,lite6,7,239.94299354786054,295.59289659170213,0.0,52.94992178096434,360.0,360.0,533.5,0.8891666666666667,293.10771194595566,313.7945773095054,323.5,69.1416,33.60968334993744,True,True,1962,1.558034730000145
lite6_q08,lite6,8,152.0712291046977,211.92116723011497,0.0,77.67092710128051,360.0,360.0,533.5,0.8891666666666667,134.9924804611594,276.3322910007795,323.5,69.1416,22.100677577747433,True,True,2000,2.240602787998796
lite6_q09,lite6,9,159.67225199528036,260.6797783087506,0.0,50.78469761065206,360.0,360.0,533.5,0.8891666666666667,319.9810386459197,174.11983591139298,323.5,69.1416,3.567934379225611,True,True,1979,1.297962156999347
lite6_q10,lite6,10,247.53790681930258,237.9257603954205,0.0,75.8688735659234,360.0,360.0,533.5,0.8891666666666667,215.8026941478077,315.003235338585,323.5,69.1416,3.72498117240061,True,True,3525,2.0606282939988887
lite6_q11,lite6,11,220.79103452377018,277.71937178494153,0.0,56.957510067149975,360.0,360.0,533.5,0.8891666666666667,94.83568697499689,335.13906210478274,323.5,69.1416,27.398431622024127,True,True,1987,2.0200586990013107
lite6_q12,lite6,12,183.73330677943304,194.1073351719207,0.0,66.29716572933827,360.0,360.0,533.5,0.8891666666666667,290.4543429189621,96.15716217070153,323.5,69.1416,3.4915573855402067,True,True,2150,1.3117192879999493
lite6_q13,lite6,13,198.40355941876766,299.3051565771635,0.0,73.1743774085771,360.0,360.0,533.5,0.8891666666666667,316.52905669349076,303.8127460527243,323.5,69.1416,20.91576720719739,True,True,1970,1.3881361130006553
lite6_q14,lite6,14,210.4366214693524,200.2261323778405,0.0,50.164459331426755,360.0,360.0,533.5,0.8891666666666667,158.19190047034607,256.82817500426825,323.5,69.1416,25.621761421453588,True,True,1994,1.8710152209987427
lite6_q15,lite6,15,234.4453191965818,251.67229577716793,0.0,67.13032384868708,360.0,360.0,533.5,0.8891666666666667,343.41398298785896,109.79860868155514,323.5,69.1416,12.952689858582614,True,True,1979,1.1499960929995723
lite6_q16,lite6,16,171.60499867880716,213.45059313064587,0.0,59.62266682763582,360.0,360.0,533.5,0.8891666666666667,289.12971708087673,144.41327689948443,323.5,69.1416,39.09468449260646,True,True,1981,1.4371237579998706
