robot,candidate_id,J2_J3_mm,J3_J4_mm,J4_J5_mm,J5_J6_mm,size_x_mm,size_y_mm,size_z_mm,worst_axis_ratio,rule_pass,arm_size_x_mm,arm_size_y_mm,arm_size_z_mm,clearance_mm,task_best_candidate,task_robust_fraction
lite6,lite6_q00,200.2,243.67,0.0,62.5,360.0,360.0,533.5,0.88917,True,310.07,200.98,323.5,0.413,,
piper,piper_q04,271.58,240.93,0.0,70.25,420.27,420.27,418.0,0.70044,True,285.27,285.27,372.44,0.82,,
unitree_z1,unitree_z1_q08,278.49,207.75,83.8,37.34,441.86,381.23,441.86,0.73644,True,311.86,251.23,398.44,5.535,,
ur10e,ur10e_q08,499.79,526.46,161.62,91.06,607.96,573.71,621.09,1.03515,False,502.96,573.71,618.39,26.477,,
ur5e,ur5e_q16,377.88,296.77,110.3,96.44,486.54,514.88,473.0,0.85813,True,456.42,394.88,379.48,0.001,,
widowx250,widowx250_q14,276.27,157.21,69.37,53.03,410.96,396.85,395.65,0.68493,True,265.96,251.85,368.41,0.068,,
willow0907,willow0907_q00,285.0,254.87,110.39,91.92,439.18,439.18,448.15,0.74692,True,304.18,304.18,431.7,0.013,,
xarm6,xarm6_q08,262.68,301.65,0.0,71.25,360.0,398.93,572.0,0.95333,True,259.32,389.84,377.0,2.805,,
