candidate_id,robot,factor2,factor3,span2_m,span3_m,parking_id,tier1_complete,tier2_complete,tier3_complete,tier1_total,tier2_total,tier3_total,storage_balanced_fraction,pickup_complete,pickup_total,pickup_all_angle_slots,pickup_min_slot_complete,module_complete,elapsed_s
xarm6_s2_1p000_s3_1p100_rear_center,xarm6,1.0,1.1,0.3458205153893959,0.381532554529869,rear_center,12,24,21,15,25,27,0.845925925925926,63,72,2,8,True,42.861545861000195
xarm6_s2_1p000_s3_1p200_rear_left,xarm6,1.0,1.2,0.3458205153893959,0.4162173322144025,rear_left,14,24,14,15,25,27,0.8039506172839506,68,72,4,9,True,46.805523652990814
xarm6_s2_1p000_s3_1p200_rear_center,xarm6,1.0,1.2,0.3458205153893959,0.4162173322144025,rear_center,12,20,18,15,25,27,0.7555555555555555,63,72,2,8,True,46.06980236899108
xarm6_s2_1p100_s3_0p800_rear_left,xarm6,1.1,0.8,0.3804025669283355,0.2774782214762683,rear_left,11,18,3,15,25,27,0.5214814814814814,46,72,0,0,True,48.06873409199761
xarm6_s2_1p100_s3_0p800_rear_center,xarm6,1.1,0.8,0.3804025669283355,0.2774782214762683,rear_center,14,25,13,15,25,27,0.8049382716049384,64,72,2,8,True,43.594220294005936
xarm6_s2_1p100_s3_0p900_rear_left,xarm6,1.1,0.9,0.3804025669283355,0.31216299916080187,rear_left,14,22,5,15,25,27,0.6661728395061729,60,72,2,7,True,44.07639527399442
xarm6_s2_1p100_s3_0p900_rear_center,xarm6,1.1,0.9,0.3804025669283355,0.31216299916080187,rear_center,13,24,19,15,25,27,0.8434567901234568,61,72,1,8,True,43.40632970401202
xarm6_s2_1p100_s3_1p000_rear_left,xarm6,1.1,1.0,0.3804025669283355,0.3468477768453354,rear_left,13,25,8,15,25,27,0.7209876543209877,66,72,3,8,True,43.770334350003395
xarm6_s2_1p100_s3_1p000_rear_center,xarm6,1.1,1.0,0.3804025669283355,0.3468477768453354,rear_center,12,23,19,15,25,27,0.8079012345679013,62,72,1,8,True,43.249236367992125
xarm6_s2_1p100_s3_1p100_rear_left,xarm6,1.1,1.1,0.3804025669283355,0.381532554529869,rear_left,14,24,14,15,25,27,0.8039506172839506,66,72,3,9,True,42.4949286239862
